range_start,range_end,percentage
207000,215999,0.0025
216000,224999,0.0022
225000,233999,0.0021
234000,242999,0.0020
243000,251999,0.0021
252000,260999,0.0021
261000,269999,0.0017
270000,278999,0.0016
279000,287999,0.0015
288000,296999,0.0015
297000,305999,0.0020
306000,314999,0.0015
315000,323999,0.0013
324000,332999,0.0012
333000,341999,0.0011
342000,350999,0.0011
351000,359999,0.0011
360000,368999,0.0010
369000,377999,0.0009
378000,386999,0.0009
387000,395999,0.0008
396000,404999,0.0010
405000,413999,0.0009
414000,422999,0.0008
423000,431999,0.0007
432000,440999,0.0007
441000,449999,0.0006
450000,458999,0.0007
459000,467999,0.0006
468000,476999,0.0006
477000,485999,0.0006
486000,494999,0.0006
495000,503999,0.0008
504000,512999,0.0007
513000,521999,0.0005
522000,530999,0.0005
531000,539999,0.0004
540000,548999,0.0004
549000,557999,0.0004
558000,566999,0.0004
567000,575999,0.0004
576000,584999,0.0004
585000,593999,0.0004
594000,602999,0.0004
603000,611999,0.0004
612000,620999,0.0003
621000,629999,0.0003
630000,638999,0.0003
639000,647999,0.0003
648000,656999,0.0003
657000,665999,0.0003
666000,674999,0.0003
675000,683999,0.0003
684000,692999,0.0003
693000,701999,0.0003
702000,710999,0.0003
711000,719999,0.0003
720000,728999,0.0002
729000,737999,0.0002
738000,746999,0.0002
747000,755999,0.0002
756000,764999,0.0002
765000,773999,0.0002
774000,782999,0.0002
783000,791999,0.0002
792000,800999,0.0002
801000,809999,0.0002
810000,818999,0.0002
819000,827999,0.0002
828000,836999,0.0002
837000,845999,0.0002
846000,854999,0.0002
855000,863999,0.0002
864000,872999,0.0002
873000,881999,0.0002
882000,890999,0.0002
891000,899999,0.0002
900000,908999,0.0002
909000,917999,0.0002
918000,926999,0.0001
927000,935999,0.0001
936000,944999,0.0001
945000,953999,0.0002
954000,962999,0.0001
963000,971999,0.0001
972000,980999,0.0001
981000,989999,0.0001
990000,998999,0.0001
999000,1007999,0.0000
