action,month,day,hour,count,sum,avg,std,step
CASH_IN,10,18,17,433,69027077.55,159415.8835,108486.8027,449
CASH_IN,10,18,19,1243,136444312.7,109770.1631,77972.51556,451
CASH_IN,10,18,20,80,6815891.2,85198.64,56672.40544,452
CASH_IN,10,18,21,12,630824.31,52568.6925,41042.73325,453
CASH_IN,10,18,22,7,785378.83,112196.9757,41426.93188,454
CASH_IN,10,18,23,86,6540395.85,76051.11453,50846.6969,455
CASH_IN,10,19,2,7,252554.26,36079.18,19327.46207,458
CASH_IN,10,19,10,409,76755062.28,187665.1889,141580.7753,466
CASH_IN,10,19,13,2509,533662937.7,212699.457,145640.3807,469
CASH_IN,10,19,15,1087,201420546.2,185299.4905,135079.5991,471
CASH_IN,10,19,16,24,5128897.02,213704.0425,161806.393,472
CASH_IN,10,19,18,1013,206808915.3,204154.9015,139715.5828,474
CASH_IN,10,19,20,1294,219812297.2,169870.3997,118700.0903,476
CASH_IN,10,19,22,384,53264108.91,138708.617,102835.05,478
CASH_IN,10,19,23,73,4849092.09,66425.91904,41703.24848,479
CASH_IN,10,20,3,6,126436.7,21072.78333,13245.54957,483
CASH_IN,10,20,7,61,10765649.7,176486.0607,128479.6832,487
CASH_IN,10,20,10,1613,322491860.1,199932.9573,141333.4,490
CASH_IN,10,20,12,2144,442172037.6,206236.9578,144072.3032,492
CASH_IN,10,20,13,774,162021327.6,209329.8807,143081.351,493
CASH_IN,10,20,15,1244,227302598.7,182719.1308,124402.5689,495
CASH_IN,10,20,16,384,83998743.21,218746.7271,156068.5239,496
CASH_IN,10,20,20,2308,279980133.1,121308.5499,84239.86522,500
CASH_IN,10,20,22,38,3881288.54,102139.1721,61460.96798,502
CASH_IN,10,20,23,152,19357865.44,127354.3779,90411.55775,503
CASH_IN,10,21,1,51,2183115.84,42806.19294,30732.51823,505
CASH_IN,10,21,5,5,105105.16,21021.032,14850.16896,509
CASH_IN,10,21,10,3286,624964588,190190.0755,133337.1838,514
CASH_IN,10,21,13,563,101739416.8,180709.4437,123179.9083,517
CASH_IN,10,21,14,1388,283604631.6,204326.1035,146049.1342,518
CASH_IN,10,21,16,1138,235904890,207297.7944,144361.2175,520
CASH_IN,10,21,18,6562,1145393754,174549.49,121513.3396,522
CASH_IN,10,21,20,970,125163621.7,129034.6616,91671.09187,524
CASH_IN,10,21,21,2141,227221348.6,106128.6075,72410.10956,525
CASH_IN,10,21,22,511,53251666.61,104210.6979,72787.77323,526
CASH_IN,10,21,23,255,18533465.54,72680.25702,51949.95459,527
CASH_IN,10,22,0,44,4738794.38,107699.8723,61240.3564,528
CASH_IN,10,22,2,5,447694.8,89538.96,47022.14092,530
CASH_IN,10,22,4,3,133280.83,44426.94333,385.323777,532
CASH_IN,10,22,6,13,5483388.03,421799.0792,199994.0693,534
CASH_IN,10,22,10,1462,248313986.5,169845.408,119074.4805,538
CASH_IN,10,22,12,2143,427988328.7,199714.5724,139238.1617,540
CASH_IN,10,22,14,1666,287096308.3,172326.7157,119900.9448,542
CASH_IN,10,22,16,2153,406981147.9,189029.7947,133142.7788,544
CASH_IN,10,22,18,1930,376462215.5,195058.1428,136340.4404,546
CASH_IN,10,22,20,2111,283914967,134493.1156,93953.25611,548
CASH_IN,10,22,21,169,16630787.36,98407.0258,68416.10409,549
CASH_IN,10,22,22,1032,130985874.9,126924.2974,92511.26751,550
CASH_IN,10,22,23,123,20290719.62,164965.2002,118444.8082,551
CASH_IN,10,23,0,63,15835968.03,251364.5719,169642.0719,552
CASH_IN,10,23,3,3,10782.13,3594.043333,2858.038671,555
CASH_IN,10,23,11,11,2276452.64,206950.24,163313.6412,563
CASH_IN,10,23,13,1567,301314362.9,192287.4045,137446.294,565
CASH_IN,10,23,15,1703,353838111.8,207773.4068,151137.2448,567
CASH_IN,10,23,19,1618,261111430.5,161379.1289,116641.3688,571
CASH_IN,10,23,21,1035,122033052.5,117906.3309,80549.38482,573
CASH_IN,10,23,22,475,85344746.34,179673.1502,128512.3169,574
CASH_IN,10,24,0,47,3501483.53,74499.64957,49491.19663,576
CASH_IN,10,24,1,7,786145.21,112306.4586,68994.24126,577
CASH_IN,10,24,2,4,189340.02,47335.005,31724.97975,578
CASH_IN,10,24,4,1,2357.14,2357.14,0,580
CASH_IN,10,24,6,7,1932189.24,276027.0343,170600.9723,582
CASH_IN,10,24,9,258,54654413.59,211838.8124,154420.1856,585
CASH_IN,10,24,14,2277,443009459.3,194558.3923,135186.2669,590
CASH_IN,10,24,16,2690,461802209.1,171673.6837,117974.132,592
CASH_IN,10,24,18,351,57281034.74,163193.8312,112287.1229,594
CASH_IN,10,24,20,2720,335689208,123415.15,88089.77916,596
CASH_IN,10,24,21,699,72974545.18,104398.491,71444.376,597
CASH_IN,10,24,22,240,42172821.91,175720.0913,130534.3148,598
CASH_IN,10,24,23,182,25559252.13,140435.4513,91714.29953,599
CASH_IN,10,25,1,32,10886744.27,340210.7584,305006.9679,601
CASH_IN,10,25,8,294,47368548.06,161117.5104,118426.8308,608
CASH_IN,10,25,10,447,58607800.87,131113.6485,97031.33883,610
CASH_IN,10,25,12,975,152684572.5,156599.5615,110459.2431,612
CASH_IN,10,25,13,1,69842.4,69842.4,0,613
CASH_IN,10,25,14,486,91684958.56,188652.1781,135582.1739,614
CASH_IN,10,25,17,836,190151870.7,227454.3907,165791.5503,617
CASH_IN,10,25,19,917,104747890.2,114228.8879,78846.97094,619
CASH_IN,10,25,21,348,27295731.12,78436.00897,49523.86368,621
CASH_IN,10,26,6,9,317564.62,35284.95778,18640.87669,630
CASH_IN,10,26,13,1386,249818545.6,180244.2609,125316.4555,637
CASH_IN,10,26,16,675,129364171.2,191650.624,135012.1046,640
CASH_IN,10,26,18,447,75401283.05,168682.9598,115908.9515,642
CASH_IN,10,26,20,784,96825737.25,123502.2159,88334.82988,644
CASH_IN,10,27,1,7,1740345.77,248620.8243,239674.5874,649
CASH_IN,10,27,8,560,82429009.47,147194.6598,97274.62141,656
CASH_IN,10,27,11,959,181555097.5,189317.0985,130204.1756,659
CASH_IN,10,27,13,1911,404665062.7,211755.6582,145261.3773,661
CASH_IN,10,27,16,446,103922117.3,233009.2317,161376.2736,664
CASH_IN,10,27,19,587,86328915.29,147067.9988,102611.8476,667
CASH_IN,10,27,21,79,11207764.37,141870.4351,99236.67857,669
CASH_IN,10,27,22,375,36312187.08,96832.49888,66030.38691,670
CASH_IN,10,28,0,8,721340.65,90167.58125,77167.02245,672
CASH_IN,10,28,1,16,1396073.61,87254.60063,79685.17337,673
CASH_IN,10,28,7,12,1870369.71,155864.1425,95883.72901,679
CASH_IN,10,28,9,2016,353500217.4,175347.33,123267.9645,681
CASH_IN,10,28,12,1874,357796826.2,190926.8016,135365.4799,684
CASH_IN,10,28,15,372,70477842.56,189456.566,130257.632,687
CASH_IN,10,28,16,2937,581933219.8,198138.6516,140792.5416,688
CASH_IN,10,28,18,16,2921040.48,182565.03,137379.555,690
CASH_IN,10,28,19,1269,179363079.6,141342.0643,98327.56925,691
CASH_IN,10,28,20,2622,374045084.4,142656.4014,103087.3706,692
CASH_IN,10,28,22,553,66447430.32,120158.1018,83945.42011,694
CASH_IN,10,28,23,333,30836580.99,92602.34532,60355.28138,695
CASH_IN,10,29,3,2,202470.56,101235.28,3922.44,699
CASH_IN,10,29,9,1026,163406795.5,159265.8825,111319.8608,705
CASH_IN,10,29,11,112,20867288.19,186315.0731,119933.5138,707
CASH_IN,10,29,13,1816,331047233.9,182294.7323,123429.2908,709
CASH_IN,10,29,14,1522,280802580.6,184495.7822,128963.3607,710
CASH_IN,10,29,16,9,1158033.8,128670.4222,125875.8345,712
CASH_IN,10,29,18,527,94635228.11,179573.4879,128068.9751,714
CASH_IN,10,29,19,1594,226531834.1,142115.3288,98946.65607,715
CASH_IN,10,29,20,95,12509245.1,131676.2642,77933.08481,716
CASH_IN,10,29,21,416,37749984.15,90745.15421,60600.0315,717
CASH_IN,10,29,22,339,34248367.95,101027.6341,69126.8913,718
CASH_OUT,10,0,1,11282,1745128631,154682.5591,133573.9327,1
CASH_OUT,10,0,2,2404,389468389.1,162008.4813,140908.7108,2
CASH_OUT,10,0,3,34,5327460.48,156690.0141,111695.3633,3
CASH_OUT,10,0,6,4550,767874455.2,168763.6165,134008.5424,6
CASH_OUT,10,0,7,27641,4883090084,176661.1224,143383.0783,7
CASH_OUT,10,0,8,77420,14307593849,184804.8805,148093.7737,8
CASH_OUT,10,0,9,118186,22888438899,193664.5533,152294.8068,9
CASH_OUT,10,0,10,78382,15325037231,195517.3028,155025.4029,10
CASH_OUT,10,0,11,77666,15228485581,196076.6047,153577.1974,11
CASH_OUT,10,0,12,72974,13939513563,191020.2752,149200.5608,12
CASH_OUT,10,0,13,83558,15570921121,186348.6575,144511.9137,13
CASH_OUT,10,0,14,93848,17197346951,183246.8135,141956.3481,14
CASH_OUT,10,0,15,106719,18910019903,177194.5005,136140.2424,15
CASH_OUT,10,0,16,96189,16697326887,173588.7356,135536.4743,16
CASH_OUT,10,0,17,99721,16750404915,167972.693,131060.7792,17
CASH_OUT,10,0,18,132336,21287119179,160856.6012,125992.3195,18
CASH_OUT,10,0,19,118369,19589122976,165492.0036,128955.6743,19
CASH_OUT,10,0,20,94086,16452295455,174864.4374,135801.2882,20
CASH_OUT,10,0,21,71854,12779352530,177851.651,140065.0959,21
CASH_OUT,10,0,22,58318,10477978901,179669.7229,138301.6125,22
CASH_OUT,10,0,23,29913,5451189964,182234.8131,141107.8534,23
CASH_OUT,10,1,0,15098,2760179547,182817.5617,141961.0575,24
CASH_OUT,10,1,1,8238,1477713979,179377.759,140436.8684,25
CASH_OUT,10,1,2,1511,280643683.7,185733.7417,142982.5343,26
CASH_OUT,10,1,3,127,22394944.38,176338.1447,133499.639,27
CASH_OUT,10,1,10,10549,1996465968,189256.4194,143328.9523,34
CASH_OUT,10,1,11,52232,9835786716,188309.594,141240.8163,35
CASH_OUT,10,1,12,106201,19976095070,188097.0525,142468.1671,36
CASH_OUT,10,1,13,65542,12128555444,185050.1273,141326.9649,37
CASH_OUT,10,1,14,59337,10837688372,182646.3821,138240.7609,38
CASH_OUT,10,1,15,31617,5764667166,182328.0883,139250.1522,39
CASH_OUT,10,1,16,94576,16657357512,176126.6866,131941.1998,40
CASH_OUT,10,1,17,85215,14468932951,169793.2635,127087.571,41
CASH_OUT,10,1,18,103638,16740064197,161524.3849,121433.4432,42
CASH_OUT,10,1,19,106344,17584856298,165358.2365,124993.4117,43
CASH_OUT,10,1,20,88028,15718028700,178557.1489,135458.6522,44
CASH_OUT,10,1,21,67628,12111448928,179089.2667,136460.7139,45
CASH_OUT,10,1,22,58992,10773511725,182626.6566,138092.7505,46
CASH_OUT,10,1,23,40926,7503290235,183337.9816,137958.0499,47
CASH_OUT,10,2,0,28944,5316946598,183697.7128,138687.8686,48
CASH_OUT,10,2,1,3591,665449663.7,185310.4048,140062.6067,49
CASH_OUT,10,3,21,21082,3750747662,177912.3263,135550.9209,93
CASH_OUT,10,3,22,47833,8600793102,179808.7743,136768.9498,94
CASH_OUT,10,3,23,35527,6439320561,181251.4583,135830.5907,95
CASH_OUT,10,4,0,31049,5648889808,181934.6777,136403.1268,96
CASH_OUT,10,4,1,2198,404788062.7,184161.9939,139524.1442,97
CASH_OUT,10,4,23,28322,5099384311,180050.2899,135896.3477,119
CASH_OUT,10,5,0,15783,2826135255,179061.9816,135206.726,120
CASH_OUT,10,5,1,6560,1157971668,176520.0713,134308.6606,121
CASH_OUT,10,5,2,1570,286966419,182781.1586,135772.5415,122
CASH_OUT,10,5,3,70,13160046.44,188000.6634,134664.1654,123
CASH_OUT,10,5,12,34,7601124.52,223562.4859,143078.5846,132
CASH_OUT,10,5,13,21623,4001669330,185065.4086,140624.7998,133
